0 1 2
1 188 4
2 34 3
2 35 51
2 36 84
2 37 9
2 40 36
2 41 80
2 42 60
2 43 76
2 44 1
2 45 27
2 46 82
2 48 11
2 49 94
2 50 92
2 51 16
2 52 52
2 54 99
2 56 14
2 62 91
2 68 12
2 69 7
2 72 85
2 75 74
2 79 55
2 81 46
2 88 27
2 94 77
2 96 58
2 102 73
2 103 32
2 105 81
2 108 80
2 111 37
2 112 50
2 116 93
2 124 97
2 139 55
2 144 53
2 145 5
2 148 91
2 155 89
2 158 25
2 163 57
2 165 53
2 166 2
2 167 51
2 170 58
2 189 82
2 192 85
2 195 8
2 198 8
3 34 84
3 35 78
3 36 81
3 39 76
3 41 41
3 42 82
3 45 4
3 46 74
3 47 77
3 50 4
3 52 68
3 55 80
3 58 92
3 61 58
3 64 57
3 65 49
3 68 97
3 71 12
3 73 31
3 74 96
3 75 34
3 79 30
3 80 74
3 86 17
3 98 71
3 103 27
3 107 73
3 108 31
3 114 90
3 132 8
3 134 72
3 142 29
3 156 69
3 165 97
3 176 85
4 34 98
4 35 65
4 36 27
4 37 31
4 38 4
4 39 83
4 40 98
4 41 25
4 42 69
4 43 71
4 44 63
4 48 54
4 49 15
4 50 39
4 51 41
4 52 18
4 53 44
4 54 89
4 56 34
4 58 9
4 60 21
4 61 81
4 62 46
4 64 69
4 66 79
4 67 47
4 68 75
4 70 67
4 72 60
4 74 29
4 76 51
4 79 87
4 80 80
4 82 18
4 84 49
4 85 58
4 87 1
4 88 47
4 89 44
4 92 68
4 94 3
4 99 48
4 108 52
4 109 96
4 114 92
4 117 86
4 121 56
4 127 90
4 129 36
4 136 3
4 141 96
4 143 16
4 146 54
4 147 48
4 151 21
4 155 74
4 159 22
4 166 36
4 168 52
4 173 57
4 174 14
4 175 5
4 178 74
4 180 65
4 182 96
4 183 69
4 187 74
5 34 40
5 35 3
5 36 14
5 37 93
5 38 42
5 39 31
5 40 74
5 41 82
5 43 59
5 45 33
5 46 89
5 47 45
5 52 58
5 55 92
5 57 18
5 59 84
5 64 60
5 65 79
5 72 6
5 74 35
5 76 75
5 78 67
5 80 21
5 81 17
5 83 91
5 87 5
5 96 48
5 98 94
5 99 45
5 100 95
5 102 14
5 103 45
5 106 81
5 109 2
5 113 92
5 119 34
5 120 70
5 128 30
5 129 67
5 133 62
5 136 71
5 141 97
5 142 75
5 144 35
5 148 72
5 150 69
5 160 15
5 165 18
5 175 67
5 177 80
5 186 92
5 189 99
5 191 4
5 192 31
5 195 19
6 34 50
6 35 77
6 36 71
6 37 5
6 38 4
6 39 28
6 40 56
6 41 86
6 43 46
6 45 37
6 46 87
6 47 90
6 48 1
6 49 29
6 50 9
6 51 39
6 55 52
6 56 11
6 57 28
6 60 82
6 61 49
6 62 94
6 63 18
6 67 19
6 68 93
6 69 32
6 72 60
6 82 68
6 89 77
6 90 8
6 94 17
6 95 4
6 96 17
6 108 33
6 109 58
6 116 39
6 118 34
6 122 55
6 124 81
6 127 56
6 128 71
6 131 34
6 137 21
6 145 43
6 146 73
6 154 26
6 161 41
6 165 21
6 173 8
6 182 78
6 185 83
6 187 14
6 190 12
6 193 46
7 34 28
7 35 13
7 36 26
7 37 82
7 38 10
7 39 85
7 40 84
7 41 12
7 42 43
7 43 73
7 44 94
7 46 93
7 48 22
7 52 39
7 53 66
7 56 78
7 58 20
7 60 93
7 61 21
7 64 1
7 66 98
7 67 28
7 68 17
7 69 4
7 71 69
7 75 20
7 77 78
7 80 2
7 82 68
7 90 5
7 98 27
7 101 65
7 107 35
7 108 29
7 111 83
7 116 85
7 117 6
7 118 34
7 119 41
7 123 93
7 126 65
7 130 14
7 131 97
7 132 55
7 134 19
7 136 30
7 138 82
7 139 81
7 143 18
7 152 34
7 157 58
7 159 13
7 161 18
7 162 46
7 163 22
7 169 25
7 179 54
7 182 75
7 194 13
8 34 74
8 35 70
8 36 2
8 37 68
8 39 1
8 40 36
8 41 92
8 42 68
8 43 33
8 44 10
8 45 30
8 46 13
8 47 28
8 48 99
8 50 25
8 51 53
8 53 78
8 54 27
8 55 27
8 56 71
8 60 72
8 67 90
8 74 68
8 75 81
8 76 56
8 77 14
8 79 69
8 83 32
8 84 18
8 86 81
8 88 47
8 93 93
8 96 50
8 97 76
8 100 3
8 101 15
8 105 22
8 107 93
8 114 94
8 117 9
8 119 66
8 121 82
8 123 98
8 127 92
8 129 37
8 130 62
8 131 77
8 145 60
8 151 60
8 155 32
8 162 61
8 163 3
8 164 12
8 166 16
8 171 23
8 176 55
8 181 8
8 190 75
8 191 51
8 197 47
9 34 35
9 35 4
9 36 20
9 37 83
9 38 38
9 39 44
9 41 53
9 42 34
9 45 72
9 46 98
9 47 59
9 49 4
9 55 64
9 58 6
9 59 61
9 60 97
9 63 38
9 67 85
9 69 33
9 76 60
9 79 57
9 81 46
9 83 75
9 84 55
9 92 92
9 93 50
9 95 83
9 102 95
9 104 56
9 105 47
9 108 83
9 109 16
9 110 3
9 119 8
9 124 80
9 125 36
9 129 20
9 131 77
9 135 69
9 137 35
9 142 83
9 143 30
9 147 32
9 148 10
9 149 40
9 154 27
9 155 99
9 156 63
9 157 26
9 166 68
9 181 76
9 189 94
10 34 41
10 35 68
10 36 32
10 38 81
10 39 78
10 40 46
10 42 45
10 43 54
10 44 72
10 45 6
10 46 23
10 47 14
10 48 83
10 50 62
10 51 72
10 52 59
10 53 50
10 54 6
10 55 80
10 56 17
10 59 92
10 60 2
10 62 79
10 63 7
10 65 30
10 68 17
10 70 72
10 74 66
10 79 62
10 80 99
10 90 85
10 98 58
10 99 41
10 102 10
10 103 46
10 105 35
10 130 10
10 131 50
10 133 22
10 140 68
10 141 53
10 143 49
10 153 53
10 165 85
10 173 72
10 191 98
10 195 29
11 34 22
11 35 12
11 36 46
11 37 19
11 38 40
11 39 44
11 40 34
11 41 19
11 43 71
11 46 13
11 48 91
11 51 73
11 52 7
11 54 92
11 58 26
11 59 7
11 61 11
11 62 5
11 64 18
11 67 29
11 70 91
11 72 58
11 81 85
11 85 94
11 87 14
11 100 59
11 113 38
11 120 68
11 124 15
11 137 65
11 138 26
11 139 95
11 148 75
11 150 86
11 152 58
11 153 37
11 156 59
11 157 83
11 159 25
11 162 27
11 163 38
11 165 99
11 168 29
11 178 40
11 197 5
12 34 56
12 35 90
12 36 65
12 37 45
12 39 32
12 41 2
12 42 88
12 44 50
12 45 99
12 46 44
12 49 57
12 50 24
12 52 23
12 54 53
12 55 29
12 57 99
12 60 82
12 62 68
12 63 57
12 65 97
12 69 55
12 71 25
12 72 15
12 78 71
12 80 75
12 87 73
12 92 16
12 95 51
12 97 19
12 100 24
12 103 59
12 111 51
12 145 62
12 147 89
12 152 19
12 156 92
12 157 94
12 170 23
12 176 71
12 191 53
12 192 81
12 196 12
13 34 79
13 35 10
13 36 53
13 37 29
13 39 64
13 40 97
13 41 2
13 42 5
13 44 59
13 47 41
13 48 61
13 49 87
13 51 67
13 52 17
13 56 21
13 57 95
13 58 33
13 60 86
13 61 98
13 68 99
13 71 28
13 81 20
13 82 70
13 89 95
13 92 27
13 93 80
13 106 58
13 121 36
13 135 88
13 136 50
13 138 82
13 143 23
13 149 3
13 153 79
13 166 43
13 170 35
13 173 40
13 179 23
13 182 91
13 185 73
13 197 4
14 34 20
14 35 46
14 36 66
14 37 99
14 38 40
14 39 4
14 40 89
14 43 68
14 44 93
14 47 74
14 58 53
14 59 11
14 62 61
14 66 27
14 72 100
14 83 48
14 88 53
14 95 21
14 96 11
14 98 94
14 123 73
14 128 72
14 130 95
14 141 11
14 149 19
14 153 88
14 167 61
14 184 29
14 190 1
14 195 41
14 199 75
15 34 62
15 35 22
15 36 50
15 37 2
15 38 54
15 39 74
15 40 95
15 41 91
15 42 39
15 43 61
15 44 53
15 45 17
15 46 20
15 49 54
15 53 4
15 57 96
15 58 53
15 60 33
15 64 10
15 69 65
15 71 68
15 74 56
15 77 24
15 80 98
15 84 51
15 86 13
15 93 82
15 94 49
15 105 70
15 106 56
15 116 43
15 122 24
15 123 69
15 125 71
15 134 33
15 139 100
15 148 91
15 172 93
15 174 32
16 34 1
16 35 62
16 36 44
16 37 45
16 38 1
16 39 6
16 40 93
16 42 41
16 43 74
16 44 59
16 47 21
16 48 48
16 49 28
16 50 94
16 51 92
16 54 13
16 55 65
16 56 76
16 57 32
16 58 63
16 59 84
16 60 36
16 63 29
16 64 56
16 66 76
16 67 13
16 69 80
16 71 60
16 73 84
16 74 14
16 77 2
16 81 59
16 83 28
16 84 84
16 87 42
16 88 41
16 95 4
16 96 6
16 100 77
16 108 23
16 109 28
16 113 57
16 134 58
16 136 62
16 142 61
16 158 95
16 172 65
16 178 90
16 185 40
16 188 30
16 190 64
16 198 12
17 34 36
17 36 83
17 37 100
17 38 53
17 39 25
17 40 97
17 41 100
17 42 7
17 43 80
17 44 36
17 45 41
17 48 75
17 49 20
17 52 57
17 54 13
17 55 82
17 56 78
17 57 75
17 59 51
17 67 36
17 75 79
17 78 39
17 86 21
17 89 23
17 93 5
17 97 81
17 103 11
17 104 44
17 116 58
17 118 85
17 119 89
17 122 95
17 130 46
17 148 35
17 149 10
17 151 37
17 155 15
17 156 48
17 158 26
17 177 75
17 188 27
17 191 2
18 35 3
18 36 43
18 37 21
18 38 81
18 39 73
18 40 15
18 43 69
18 44 76
18 45 12
18 46 35
18 51 75
18 54 5
18 56 57
18 63 73
18 79 19
18 86 86
18 91 5
18 95 98
18 99 79
18 105 16
18 110 39
18 111 60
18 114 97
18 122 28
18 131 97
18 132 89
18 142 70
18 144 10
18 154 90
18 170 19
18 176 51
18 183 8
18 185 2
18 189 30
18 193 82
18 199 96
19 34 23
19 35 37
19 36 51
19 37 57
19 38 34
19 39 40
19 40 91
19 41 99
19 42 33
19 43 72
19 44 80
19 45 85
19 46 24
19 47 13
19 48 2
19 49 94
19 56 35
19 57 28
19 59 43
19 60 69
19 64 92
19 67 30
19 71 17
19 72 65
19 73 13
19 75 4
19 77 75
19 82 40
19 83 74
19 84 96
19 85 22
19 88 15
19 92 66
19 95 37
19 98 67
19 99 94
19 104 2
19 107 1
19 109 31
19 110 84
19 111 2
19 121 84
19 124 32
19 132 79
19 134 33
19 138 89
19 139 74
19 140 38
19 146 19
19 156 30
19 162 17
19 163 53
19 164 25
19 167 30
19 169 93
19 176 25
19 181 98
19 183 7
19 184 90
19 189 36
19 190 62
19 192 16
19 196 1
20 34 76
20 35 59
20 36 68
20 37 80
20 38 87
20 39 63
20 40 48
20 41 93
20 42 25
20 43 9
20 47 77
20 48 5
20 49 20
20 50 78
20 51 39
20 56 82
20 60 63
20 61 17
20 62 64
20 64 1
20 67 49
20 70 100
20 76 64
20 83 56
20 84 22
20 96 91
20 102 49
20 119 30
20 123 32
20 124 35
20 128 17
20 138 88
20 147 7
20 148 68
20 154 21
20 157 31
20 158 41
20 160 60
20 170 67
20 172 1
20 193 27
20 197 17
21 34 88
21 35 53
21 36 7
21 37 89
21 38 81
21 39 38
21 40 47
21 41 5
21 42 32
21 43 3
21 44 15
21 45 30
21 46 60
21 47 39
21 50 58
21 51 31
21 52 69
21 53 7
21 55 86
21 56 33
21 58 47
21 59 39
21 60 95
21 62 40
21 63 99
21 65 1
21 68 12
21 70 48
21 72 55
21 73 38
21 74 60
21 75 27
21 78 2
21 79 4
21 80 15
21 82 17
21 89 75
21 90 71
21 91 38
21 93 44
21 97 82
21 98 82
21 99 100
21 101 84
21 108 59
21 112 46
21 113 3
21 114 100
21 117 16
21 124 3
21 125 67
21 126 27
21 131 77
21 135 12
21 136 1
21 139 87
21 143 64
21 147 72
21 164 54
21 169 79
21 186 14
22 34 19
22 35 9
22 37 60
22 38 96
22 40 91
22 42 96
22 43 90
22 44 32
22 47 39
22 49 40
22 51 75
22 54 12
22 55 74
22 62 25
22 63 33
22 71 33
22 75 36
22 76 70
22 80 15
22 82 43
22 83 35
22 89 63
22 97 46
22 101 66
22 102 33
22 106 54
22 108 55
22 113 54
22 119 33
22 122 1
22 125 9
22 128 64
22 133 57
22 134 70
22 142 53
22 143 99
22 148 81
22 166 47
22 181 86
22 182 69
22 191 38
22 192 43
22 197 33
22 199 22
23 34 75
23 36 15
23 37 87
23 38 10
23 40 51
23 41 23
23 42 16
23 44 42
23 45 27
23 46 6
23 53 78
23 55 1
23 57 24
23 61 78
23 62 96
23 65 90
23 84 50
23 85 30
23 86 54
23 88 41
23 89 74
23 95 93
23 97 6
23 110 40
23 113 30
23 117 50
23 118 87
23 121 7
23 125 43
23 126 51
23 132 97
23 135 72
23 143 7
23 146 29
23 162 1
23 171 47
23 176 2
23 180 7
23 183 97
23 193 61
24 34 75
24 35 71
24 36 90
24 38 3
24 39 100
24 40 48
24 41 37
24 46 9
24 47 1
24 54 99
24 58 90
24 61 44
24 62 58
24 65 50
24 67 81
24 76 50
24 79 36
24 86 94
24 94 33
24 95 65
24 97 74
24 98 73
24 100 27
24 102 60
24 110 57
24 116 53
24 120 45
24 121 82
24 131 16
24 141 84
24 142 65
24 165 60
24 177 85
25 34 52
25 35 4
25 36 42
25 37 33
25 38 52
25 39 7
25 40 6
25 41 38
25 42 27
25 44 5
25 45 81
25 47 6
25 48 94
25 49 76
25 51 2
25 52 67
25 53 2
25 55 63
25 57 94
25 60 31
25 66 85
25 68 20
25 73 50
25 74 12
25 76 95
25 80 62
25 81 26
25 85 58
25 88 32
25 89 85
25 90 95
25 96 89
25 98 34
25 99 93
25 101 98
25 104 19
25 110 15
25 112 43
25 113 61
25 114 17
25 118 61
25 134 54
25 135 17
25 138 35
25 146 21
25 148 2
25 149 41
25 157 14
25 158 51
25 165 28
25 167 34
25 175 70
25 181 68
25 186 44
25 194 95
25 195 65
25 196 86
25 198 65
26 34 18
26 35 68
26 36 51
26 37 41
26 38 100
26 39 95
26 43 47
26 45 59
26 49 87
26 50 70
26 53 9
26 57 9
26 58 70
26 59 28
26 66 16
26 77 81
26 79 92
26 81 18
26 84 41
26 86 20
26 87 42
26 94 6
26 99 10
26 103 44
26 105 8
26 107 12
26 108 62
26 115 45
26 116 54
26 117 17
26 121 35
26 133 64
26 135 97
26 144 86
26 149 45
26 150 51
26 152 69
26 156 30
26 164 24
26 172 43
26 194 51
27 34 35
27 35 94
27 36 28
27 37 41
27 38 28
27 39 55
27 40 82
27 42 30
27 44 13
27 45 33
27 46 9
27 48 40
27 50 13
27 51 26
27 53 31
27 54 78
27 55 37
27 57 51
27 60 4
27 63 95
27 68 93
27 70 58
27 78 48
27 81 72
27 85 47
27 87 47
27 88 5
27 96 26
27 102 61
27 109 32
27 112 40
27 118 23
27 124 69
27 141 7
27 144 44
27 152 71
27 161 54
27 164 53
27 173 32
27 178 25
27 194 33
27 198 10
27 199 29
28 34 38
28 35 61
28 36 67
28 37 34
28 38 35
28 47 86
28 50 42
28 55 20
28 56 47
28 58 31
28 61 44
28 66 36
28 69 42
28 70 43
28 75 38
28 91 9
28 100 37
28 104 95
28 107 70
28 114 13
28 135 76
28 137 4
28 140 34
28 151 61
28 177 78
28 183 57
28 186 50
29 34 67
29 35 46
29 36 87
29 37 92
29 38 57
29 40 56
29 41 40
29 43 66
29 45 39
29 46 23
29 47 42
29 48 35
29 49 31
29 50 48
29 53 56
29 54 62
29 55 65
29 56 74
29 58 40
29 60 85
29 61 41
29 62 71
29 64 21
29 65 62
29 66 83
29 67 49
29 70 1
29 71 42
29 72 93
29 73 79
29 81 14
29 82 49
29 83 82
29 85 18
29 87 31
29 89 26
29 90 71
29 93 25
29 94 97
29 97 82
29 98 18
29 99 100
29 101 13
29 102 81
29 106 6
29 110 72
29 113 97
29 115 61
29 116 77
29 120 39
29 122 76
29 124 71
29 125 60
29 129 55
29 130 72
29 133 34
29 134 64
29 135 9
29 138 28
29 140 21
29 145 25
29 150 99
29 151 55
29 153 35
29 155 84
29 157 73
29 161 21
29 166 48
29 170 2
29 174 59
29 175 100
29 177 29
29 183 87
29 184 65
29 198 65
30 34 9
30 35 27
30 36 65
30 37 74
30 38 87
30 39 6
30 40 90
30 41 1
30 42 60
30 43 62
30 44 15
30 45 9
30 46 85
30 47 64
30 48 43
30 50 88
30 52 55
30 53 20
30 54 69
30 55 7
30 57 58
30 58 93
30 62 83
30 63 22
30 64 67
30 68 12
30 72 96
30 73 45
30 74 26
30 75 36
30 76 63
30 77 62
30 78 62
30 80 55
30 82 70
30 83 72
30 84 23
30 87 28
30 89 8
30 90 21
30 92 3
30 93 49
30 94 47
30 95 70
30 96 59
30 102 52
30 107 4
30 109 29
30 111 54
30 112 73
30 114 59
30 116 89
30 117 8
30 126 22
30 135 90
30 136 75
30 140 11
30 147 22
30 150 21
30 151 94
30 157 36
30 165 12
30 168 63
30 169 42
30 175 35
30 187 4
30 197 55
31 34 67
31 35 56
31 36 37
31 38 30
31 39 59
31 40 37
31 41 26
31 42 90
31 44 18
31 45 35
31 46 95
31 47 90
31 48 23
31 49 97
31 51 30
31 52 78
31 53 49
31 56 46
31 57 69
31 58 95
31 70 11
31 75 22
31 76 87
31 85 93
31 92 69
31 102 79
31 107 91
31 121 62
31 122 22
31 124 86
31 126 34
31 128 35
31 131 30
31 139 14
31 144 16
31 163 2
31 166 80
31 173 38
31 184 52
31 186 44
31 193 72
32 34 73
32 35 76
32 37 18
32 38 67
32 39 42
32 41 60
32 42 47
32 43 80
32 48 88
32 49 12
32 50 27
32 52 87
32 56 53
32 64 43
32 65 9
32 67 87
32 68 22
32 70 39
32 71 21
32 73 60
32 77 38
32 82 51
32 83 75
32 84 31
32 85 53
32 86 28
32 93 37
32 114 56
32 115 41
32 116 85
32 127 94
32 133 31
32 140 56
32 165 5
32 188 24
32 192 82
33 34 15
33 35 56
33 36 81
33 37 86
33 38 9
33 41 35
33 42 25
33 43 51
33 44 93
33 45 35
33 47 15
33 48 100
33 49 62
33 51 15
33 52 49
33 53 75
33 60 11
33 61 9
33 63 71
33 64 43
33 65 83
33 66 30
33 67 90
33 68 39
33 70 23
33 73 73
33 75 40
33 78 76
33 84 9
33 86 82
33 87 90
33 94 65
33 97 10
33 103 78
33 106 91
33 107 18
33 110 6
33 114 14
33 128 40
33 134 64
33 135 39
33 137 49
33 155 52
33 164 41
33 165 47
33 172 45
33 179 81
33 183 10
33 198 77
34 35 17
34 36 70
34 37 95
34 38 91
34 39 11
34 40 5
34 41 77
34 42 59
34 43 58
34 44 45
34 45 70
34 46 97
34 47 23
34 48 13
34 49 81
34 50 22
34 51 83
34 52 48
34 53 14
34 54 9
34 55 57
34 56 36
34 57 68
34 58 31
34 59 70
34 60 78
34 61 77
34 62 55
34 63 42
34 65 4
34 66 88
34 68 66
34 69 89
34 70 78
34 71 25
34 72 94
34 73 100
34 74 82
34 76 6
34 78 69
34 79 88
34 80 19
34 81 63
34 82 92
34 83 75
34 84 15
34 86 86
34 87 90
34 89 87
34 91 52
34 92 43
34 93 80
34 95 81
34 96 39
34 97 67
34 98 81
34 100 4
34 101 58
34 107 71
34 108 42
34 109 75
34 110 39
34 114 60
34 115 93
34 116 14
34 117 87
34 118 78
34 119 53
34 120 20
34 122 28
34 123 84
34 125 54
34 126 7
34 127 69
34 129 16
34 131 63
34 132 73
34 134 61
34 137 36
34 138 77
34 140 35
34 142 27
34 145 43
34 148 83
34 150 100
34 151 31
34 155 32
34 160 91
34 162 43
34 163 33
34 166 61
34 167 25
34 178 50
34 179 78
34 183 21
34 184 12
34 185 9
34 187 76
34 189 69
34 190 53
34 191 33
34 193 66
34 194 39
34 195 43
34 197 44
35 36 39
35 37 68
35 38 92
35 39 39
35 40 65
35 41 58
35 42 28
35 43 26
35 44 15
35 45 75
35 46 3
35 47 7
35 49 63
35 50 90
35 51 41
35 52 5
35 53 71
35 55 35
35 56 28
35 57 49
35 58 81
35 59 90
35 60 93
35 62 77
35 64 69
35 66 42
35 67 46
35 69 99
35 72 55
35 75 97
35 78 19
35 79 50
35 83 17
35 84 99
35 85 7
35 89 2
35 90 70
35 94 72
35 97 29
35 100 52
35 101 98
35 104 97
35 105 75
35 107 2
35 108 68
35 110 25
35 112 67
35 114 9
35 117 61
35 118 74
35 119 12
35 121 58
35 125 97
35 126 18
35 128 53
35 130 88
35 131 68
35 132 88
35 134 61
35 136 77
35 137 52
35 142 26
35 147 28
35 148 79
35 149 61
35 155 47
35 156 71
35 158 43
35 159 38
35 160 69
35 161 71
35 162 90
35 166 14
35 167 84
35 171 71
35 172 80
35 174 78
35 178 13
35 179 99
35 180 85
35 182 74
35 187 46
35 189 95
35 194 10
35 195 25
35 197 97
36 37 85
36 38 44
36 39 70
36 40 15
36 41 89
36 42 49
36 43 8
36 44 81
36 45 56
36 46 34
36 47 20
36 48 58
36 49 22
36 50 2
36 51 26
36 53 2
36 54 10
36 55 50
36 56 13
36 57 21
36 58 74
36 59 88
36 60 58
36 61 62
36 62 88
36 63 62
36 64 3
36 65 55
36 66 55
36 69 34
36 70 81
36 71 35
36 72 61
36 73 87
36 75 24
36 76 75
36 77 2
36 78 75
36 80 74
36 82 60
36 83 81
36 85 3
36 86 7
36 88 80
36 91 46
36 97 70
36 98 30
36 99 87
36 101 48
36 103 65
36 104 77
36 108 28
36 109 57
36 111 93
36 114 39
36 115 48
36 116 71
36 118 21
36 119 60
36 121 98
36 122 88
36 126 77
36 131 18
36 133 37
36 138 46
36 139 7
36 140 63
36 141 86
36 142 34
36 143 89
36 146 59
36 147 25
36 150 8
36 151 88
36 152 10
36 154 41
36 156 48
36 162 30
36 165 55
36 172 16
36 174 99
36 179 50
36 182 67
36 185 25
36 189 69
36 195 94
36 197 62
36 199 43
37 38 100
37 39 25
37 40 86
37 41 59
37 42 98
37 43 43
37 44 81
37 45 41
37 46 58
37 47 14
37 48 79
37 50 88
37 51 59
37 52 29
37 53 40
37 54 9
37 55 25
37 56 70
37 58 61
37 59 91
37 61 11
37 62 79
37 63 77
37 64 84
37 65 36
37 66 17
37 67 99
37 68 61
37 69 36
37 70 16
37 72 85
37 75 95
37 76 73
37 78 70
37 79 20
37 80 28
37 83 5
37 86 84
37 88 34
37 91 16
37 93 79
37 96 53
37 97 64
37 100 35
37 101 48
37 102 51
37 105 46
37 106 44
37 109 56
37 111 78
37 112 2
37 114 4
37 115 90
37 117 69
37 121 42
37 123 34
37 124 24
37 126 8
37 127 15
37 129 88
37 130 100
37 131 23
37 132 41
37 133 4
37 136 62
37 140 84
37 142 19
37 143 37
37 148 5
37 150 65
37 154 32
37 157 54
37 158 37
37 160 18
37 162 72
37 163 44
37 165 2
37 166 33
37 170 93
37 172 1
37 173 63
37 175 29
37 176 13
37 189 35
37 194 91
37 196 20
37 198 11
37 199 3
38 39 74
38 40 81
38 41 83
38 42 77
38 43 70
38 44 31
38 45 20
38 46 12
38 48 34
38 49 47
38 50 10
38 51 93
38 52 53
38 53 24
38 54 47
38 55 81
38 56 75
38 57 80
38 59 43
38 62 22
38 63 60
38 64 50
38 65 23
38 66 10
38 69 21
38 71 27
38 72 11
38 74 74
38 75 17
38 76 82
38 81 3
38 82 42
38 91 39
38 92 38
38 94 100
38 100 97
38 103 85
38 105 28
38 106 94
38 113 76
38 121 43
38 122 82
38 125 92
38 126 27
38 127 63
38 129 6
38 130 15
38 133 92
38 137 39
38 142 33
38 147 35
38 148 62
38 158 11
38 159 84
38 163 13
38 168 71
38 170 67
38 178 51
38 184 52
38 193 90
38 196 21
39 40 10
39 41 2
39 42 53
39 43 45
39 44 12
39 45 85
39 46 26
39 47 97
39 48 82
39 49 54
39 50 31
39 51 87
39 53 34
39 54 86
39 56 9
39 57 25
39 58 34
39 59 97
39 61 52
39 63 56
39 64 15
39 65 62
39 66 32
39 69 97
39 75 60
39 78 32
39 80 18
39 81 98
39 82 37
39 83 66
39 85 29
39 86 84
39 87 34
39 88 82
39 89 85
39 90 25
39 91 86
39 92 20
39 94 48
39 95 31
39 96 38
39 98 47
39 99 27
39 101 16
39 102 89
39 103 18
39 104 3
39 105 37
39 106 39
39 109 90
39 111 64
39 112 10
39 114 56
39 115 68
39 116 68
39 118 64
39 122 17
39 123 79
39 125 12
39 127 2
39 128 84
39 130 38
39 132 63
39 133 78
39 136 77
39 137 59
39 142 33
39 143 44
39 147 18
39 151 93
39 153 6
39 156 6
39 157 22
39 159 18
39 162 86
39 163 11
39 167 57
39 168 72
39 169 98
39 172 71
39 174 29
39 177 87
39 181 47
39 182 88
39 184 100
39 186 75
39 188 59
39 191 13
39 193 1
39 195 51
39 197 14
40 41 44
40 42 87
40 43 19
40 44 9
40 45 52
40 46 71
40 47 74
40 48 56
40 49 47
40 50 55
40 51 93
40 52 49
40 53 91
40 54 83
40 55 63
40 56 18
40 57 45
40 59 46
40 60 20
40 61 51
40 62 72
40 63 57
40 64 78
40 65 97
40 66 51
40 67 37
40 70 75
40 71 22
40 72 82
40 73 46
40 74 76
40 76 43
40 78 87
40 79 62
40 80 52
40 85 47
40 86 39
40 87 56
40 89 99
40 91 24
40 93 92
40 96 68
40 97 90
40 99 38
40 100 85
40 101 14
40 103 10
40 106 85
40 107 41
40 109 15
40 112 22
40 114 7
40 115 4
40 116 85
40 117 52
40 119 68
40 120 73
40 121 48
40 129 32
40 130 65
40 135 44
40 139 97
40 142 30
40 145 68
40 151 49
40 154 75
40 155 26
40 157 12
40 159 31
40 160 64
40 166 71
40 169 92
40 171 94
40 174 53
40 175 9
40 181 72
40 186 69
40 190 97
40 199 55
41 42 96
41 43 18
41 44 32
41 46 80
41 47 60
41 48 65
41 49 97
41 50 50
41 51 98
41 52 58
41 53 91
41 54 14
41 55 48
41 57 82
41 58 48
